Type,Description,Sub category,sub-sub-category
cardiomyopathy,HCM,,
hyperventilation,Forced hyperventilation,,
hyperventilation,Hyperventilation,,
hyperventilation,hyperventilation,,
hyperventilation,hyperventilation,,
hyperventilation,hyperventilation,,
hyperventilation,hyperventilation,,
hyperventilation,Hyperventilation syndrome,,
hyperventilation,hypoventilation,,
hyperventilation,hypoventilation,,
hypocalcemia,hypocalcemia,,
hypotension,Arterial hypertension,,
hypotension,hypertension,,
hypotension,hypertension,,
hypotension,Hypertension,,
hypotension,hypertension,,
hypotension,hypotension,,
hypotension,hypotension,,
hypotension,hypotension,,
hypotension,hypotension,,
hypotension,hypotension,,
hypotension,hypotension,,
hypotension,untreated arterial hypertension,,
IASC-C,IASC-C,,
ICBN,the ICBN,,
ICD interventions,ICD interventions,,
iced drinks,iced drinks,,
Idiopathic,idiopathic or incurable ones,,
Idiopathic,Idiopathic prolapse,,
IECFs,145 IECFs,,
IECFs,IECFs,,
illness,illness,,
illness,illness representations,,
Implantable Cardioverter-Defibrillator,Implantable Cardioverter-Defibrillator,,
Implantable Cardioverter-Defibrillator,Implantable Cardioverter-Defibrillator Placement,,
indicated cTCA,indicated cTCA,,
indwelling chest tube,the indwelling chest tube,,
indwelling chest tube,the indwelling chest tube,,
indwelling chest tube,the indwelling chest tube,,
infarction,acute infarction of the body of the sternum,,
infarction,infarction,,
infarction,infarction or hemorrhage of the tumor,,
infarction,nontransmural infarction,,
infarction,recognition of the acute infarction of the cervical spinal cord,,
infarction,spontaneous extension of infarction,,
infarction,the infarction,,
infarction,traumatic intrathoracic infarction of the stomach,,
Infection,an invasive fungal infection,,
Infection,infection,,
Infection,infections,,
Infection,"infectious , drug-induced and caustic damages",,
Infection,Infectious aortitis,,
Infection,infectious mononucleosis,,
Infection,lower respiratory tract infections,,
inferior ST segment elevation,inferior ST segment elevation,,
inferior ST segment elevation,inferior ST-segment elevation,,
inferior ST segment elevation,inferior wall ST-segment elevation,,
inferior ST segment elevation,inferoposterolateral ST-segment elevation,,
inferior vena cava filter,A G2 inferior vena cava filter,,
inferior vena cava filter,excluded inferior vena cava filter,,
inflammation,an acute upper respiratory inflammation,,
inflammation,an inflammatory response,,
inflammation,inflammation,,
inflammatory,inflammatory arthritic conditions,,
inflammatory,inflammatory processes,,
inflation,repetitive balloon inflations,balloon inflations,repetitive balloon inflations
inflation,repetitive balloon inflations,balloon inflations,repetitive balloon inflations
inflation,the 2nd balloon inflation,balloon inflations,
inflation,Inflation,,
inflation,The 30-second inflations,,
infusion,gemcitabine infusion,,
infusion,vasopressin infusion,,
ingestion,H2-blocker ingestion,,
ingestion,tetracycline ingestion,,
ingestion,ingestion of rat poison,,
ingestion,voluntary ingestion of 2 cell batteries,,
ingestion of honey,ingestion of honey,,
Inhalation,inhalation of a trichloroethane aerosol product,,
Inhalation,inhalation of liquid paraffin,,
Inhalation,inhalation of soot,,
initiation of treatment,initiation of treatment,,
initiation of treatment,initiation of vasodilator treatment,,
injection,injection of ACh,,
inlet patch,inlet patch,,
intercostal,an intercostal neurilemmoma,,
Intercostal,intercostal involvement,,
Intercostal,Intercostal neurinoma,,
interscalene brachial plexus block,continuous interscalene brachial plexus block,,
interscalene brachial plexus block,interscalene brachial plexus block,,
stimulation,Intracardiac stimulation,,
intracoronary,intracoronary ergonovine,intracoronary ergonovine,
intracoronary,Intracoronary ergonovine testing,intracoronary ergonovine,
intracoronary,intracoronary administration of adenosine,,
intracoronary,intracoronary thrombolysis,,
Intramural hematoma,Intramural esophageal hematoma,Intramural esophageal hematoma,
Intramural hematoma,Intramural esophageal hematoma,Intramural esophageal hematoma,
Intramural hematoma,Intramural hematoma of the esophagus,Intramural esophageal hematoma,
Intramural hematoma,Intramural hematoma,,
intrathoracic,compression of intrathoracic structures,,
intrathoracic,Fistula of right internal thoracic artery,,
intrathoracic,Gangrenous intrathoracic appendicitis,,
intrathoracic,intrathoracic structures,,
Intravenous,Intravenous ( i.v . ) bolus administration of adenosine,,
Intravenous,intravenous beta-adrenergic blockade treatment,,
Intravenous,intravenous corticotropin-releasing hormone,,
Intravenous,intravenous ergonovine,,
Intravenous,Intravenous Nitroglycerin,Intravenous Nitroglycerin,
Intravenous,intravenous nitroglycerin administration,Intravenous Nitroglycerin,
Intravenous,Intravenous Propofol Injection,,
Ipsilateral in situ grafts,Ipsilateral in situ grafts,,
ischemia,a posterolatero-apical subepicardial ischemia,,
ischemia,intercostal artery ischemia,,
ischemia,ischaemia,,
ischemia,ischaemia,,
ischemia,ischaemic changes,,
ischemia,ischaemic electrical modifications,,
ischemia,ischemia,,
ischemia,ischemia,,
ischemia,ischemia,,
ischemia,ischemia,,
ischemia,ischemia,,
ischemia,ischemic heart disease,,
ischemia,measures of ischemia,,
ischemia,stress-induced ischaemic episodes,,
ischemia,suspected ischaemic heart disease,,
ischemia,that of ischemic heart disease,,
ischemia,the amount of ischemia,,
ischemia,the nociceptive stimulation of the ischemic heart,,
ischemia,"the so-called "" ischemic cascade",,
ischemia,underlying ischemia,,
ischemia,subendocardial ischemia,,
ischemic electrocardiographic,ischemic ECG changes,,
ischemic electrocardiographic,ischemic electrocardiographic changes,,
Isolated pericardial hydatidosis,a case of isolated pericardial hydatidosis,,
Isolated pericardial hydatidosis,Isolated pericardial hydatidosis,,
joint and muscle dysfunction of the neck,joint and muscle dysfunction of the neck,,
Kawasaki disease,Kawasaki disease,,
kidney transplantation,kidney transplantation,transplantation,
Kounis syndrome,Kounis syndrome,,
Kounis syndrome,KS,,
laparotomy,laparotomy,,
large pleural effusion,large pleural effusion,,
large pleural effusion,Large pleural effusions,,
left bundle branch block,Rate-related left bundle branch block,Rate-related left bundle branch block,
left bundle branch block,the onset of rate-related left bundle branch block,Rate-related left bundle branch block,
Left bundle branch block,LBBB,,
Left bundle branch block,LBBB,,
left ventricular,left ventricular anterior and inferior reinfarction,,
left ventricular,left ventricular dysfunction,,
left ventricular,Left ventricular fibroma,,
left ventricular,Left ventricular non-compaction,,
left ventricular,left ventricular outflow tract obstruction,,
left ventricular,signs of left ventricular failure,,
left ventricular,maximum left ventricular radioactivity,,
left ventricular,reversible left ventricular ( LV ) apical hypokinesia,,
left ventricular ejection fraction,left ventricular ejection fraction,,
left ventricular ejection fraction,left ventricular ejection fraction,,
long-distance airplane flight,long-distance airplane flight,,
loss of consciousness,loss of consciousness,,
lower bone turnover,lower bone turnover,,
lower quality of life,lower quality of life,,
lower quality of life,poor QoL,,
lower quality of life,poor QoL,,
Lugol chromoendoscopy,Lugol chromoendoscopy,,
lunch,lunch,,
lung,lung lobectomy,,
Lung herniation,Lung herniation,,
Lung herniation,Lung herniation,,
Lung herniation,lung herniation,,
pleurisy,lupus-induced pleurisy,,
lymphoma,recurrent lymphoma,,
magnesium sulfate,intravenous magnesium sulfate,,
magnesium sulfate,magnesium sulfate,,
malaise,malaise,,
malignant disease,malignant disease,,
manometric findings,manometric findings,,
Manubriosternal joint abnormalities,Manubriosternal joint abnormalities,Manubriosternal,
marijuana use,marijuana use,,
Left ventricular hydatid cyst,Left ventricular hydatid cyst,,
MCD,MCD,,
median sternotomy,median sternotomy,,
median sternotomy,median sternotomy,,
mediastinal,a locally invasive anterior mediastinal mass,mediastinal mass,
mediastinal,an anterior mediastinal mass,mediastinal mass,
mediastinal,mediastinal lymphadenopathy,,
mediastinal,the mediastinum,,
mediastinal,mediastinal irradiation,,
mediastinal,mediastinal radiotherapy,,
mediastinal,a Mediastinal Mass,,
medicines,5-FU,,
medicines,A Bernstein acid infusion test,,
medicines,medication,,
meningitidis,N. meningitidis,,
meningoceles,the meningoceles,,
menopause,menopause,,
menopause,the onset of menopause,,
menses,menses,,
menstruation,menstrual cycles,,
menstruation,menstruation,,
Mental workload,Mental workload,,
Mesenchymal hamartomatous nodules,Mesenchymal hamartomatous nodules,,
mesothelioma,mesothelioma,,
methamphetamine ( MAP ) use,methamphetamine ( MAP ) use,,
"Mexican American , nurse practitioner , and lay control group beliefs","Mexican American , nurse practitioner , and lay control group beliefs",,
Microvascular,MVA,angina,
microvascular dysfunction,Microvascular dysfunction,,
microvascular dysfunction,Microvascular dysfunction,,
microvascular dysfunction,microvascular dysfunction,,
microvascular dysfunction,microvascular dysfunction,,
microvascular dysfunction,microvascular endothelial dysfunction,,
microvascular dysfunction,MVD,,
Minocycline,Minocycline,,
Minocycline,minocycline induced pericarditis,,
Minocycline,Minocycline instillation,,
Minocycline,minocycline pleurodesis,,
Mitral leaflet prolapse syndrome,Mitral leaflet prolapse syndrome,,
Mitral leaflet prolapse syndrome,Mitral leaflet prolapse syndrome,,
mitral valve prolapse,mitral valve prolapse,,
mitral valve prolapse,mitral valve prolapse,,
mitral valve prolapse,mitral valve prolapse,,
mitral valve prolapse,Mitral Valve Prolapse,,
mitral valve prolapse,Mitral valve prolapse,,
mitral valve prolapse,Mitral valve prolapse,,
mitral valve prolapse,mitral valve prolapse,,
mitral valve prolapse,mitral valve prolapse,,
mitral valve prolapse,Mitral valve prolapse syndrome,,
mitral valve prolapse,silent mitral valve prolapse,,
pacing,moderator band pacing,,
Mondor 's disease,Mondor disease,,
Mondor 's disease,Mondor 's disease,,
Mondor 's disease,Mondor 's disease,,
Mondor 's disease,Mondor 's disease,,
Mondor 's disease,Mondor 's disease,,
Most SAs,Most SAs,,
motility,motility disorders,,
motility,motility disorders,,
motility,motor disorders,,
motility,non-specific motility disorders,,
motility abnormalities,motor abnormalities,motility,
motility abnormalities,the motor abnormality,motility,
motility abnormalities,significant segmental wall motion abnormalities,,
Motility disturbances,Motility disturbances,motility,
Motility disturbances,motility disturbances,motility,
multidisciplinary perspective,multidisciplinary perspective,,
multifactorial,multifactorial,,
muscle strain,muscle strain,,
Musculoskeletal,Musculoskeletal pain syndromes,Musculoskeletal pain,
Musculoskeletal,"musculoskeletal , esophageal , neurologic , and psychiatric conditions",,
Musculoskeletal,musculoskeletal diseases,,
Musculoskeletal,musculoskeletal disorders,,
Musculoskeletal,somatic dysfunction of the musculoskeletal system,,
Musculoskeletal,The musculoskeletal structures of the thoracic wall,,
Musculoskeletal chest,Musculoskeletal chest pain,Musculoskeletal,Musculoskeletal pain
Musculoskeletal chest,musculoskeletal chest pain,Musculoskeletal,Musculoskeletal pain
Musculoskeletal chest,musculoskeletal chest wall disorders,Musculoskeletal,
musculoskeletal system,The musculoskeletal system,Musculoskeletal,
musculoskeletal system,The musculoskeletal system,Musculoskeletal,
mushroom poisoning,mushroom poisoning,,
MVP,MVP,,
Mycoplasma myocarditis,Mycoplasma myocarditis,,
myocardial,myocardial fibrosis,,
myocardial,myocardial sarcoidosis,,
myocardial,Elevated levels of CK-MB mass,,
myocardial,Extended myocardial bridge,,
myocardial,extension of myocardial necrosis,,
myocardial,first AMI,,
myocardial,impaired myocardial O2 supply,,
myocardial,inferior MI,,
myocardial,inflammation of the myocardium,,
myocardial,myocardial compression,,
myocardial,myocardial damage,,
myocardial,myocardial infarct,,
myocardial,Myocardial infarction-associated pericarditis,,
myocardial bridge,a myocardial bridge,,
myocardial bridge,MB,,
myocardial bridge,MB,,
myocardial bridge,MB,,
myocardial bridge,MB,,
myocardial bridge,MBs,,
myocardial bridge,Myocardial bridge,,
myocardial bridge,myocardial bridging,,
myocardial bridge,Myocardial bridging,,
myocardial bridge,Myocardial bridging,,
myocardial bridge,Myocardial bridging,,
myocardial bridge,myocardial bridging,,
myocardial infarction,a myocardial infarction,,
myocardial infarction,a myocardial infarction,,
myocardial infarction,an MI,,
myocardial infarction,inferior MI,,
myocardial infarction,MI,,
myocardial infarction,MI,,
myocardial infarction,MI,,
myocardial infarction,MI,,
myocardial infarction,MI,,
myocardial infarction,MI,,
myocardial infarction,MI attacks,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,myocardial infarction,,
myocardial infarction,Myocardial infarction,,
myocardial infarction,non-ST-elevation myocardial infarction,,
Myocardial infarction pericarditis,Myocardial infarction-associated pericarditis,,
Myocardial infarction pericarditis,Periprocedural MI,,
myocardial injury,elevated markers of myocardial injury,,
myocardial injury,myocardial injury,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischaemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,Myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,myocardial ischemia,,
myocardial ischaemia,Myocardial ischemia,,
myocardial ischaemia,prolonged myocardial ischemia,,
myocardial ischaemia,resultant myocardial ischaemia,,
myocardial ischaemia,reversible myocardial ischemia,,
myocardial ischaemia,that of myocardial ischemia,,
myocardial ischaemia,that of myocardial ischemia,,
myocardial ischaemia,the myocardial ischemia,,
myocardial ischaemia,transient adenosine infusion myocardial ischemia,,
myocardial ischaemia,Transient myocardial ischemia,,
myocardial ischemia,acute and chronic myocardial ischemia,,
myocardial ischemia,evidence of myocardial ischemia,,
Myocarditis,Myocarditis,,
myopericarditis,a myopericarditis,,
myopericarditis,myopericarditis,,
myopericarditis,Myopericarditis,,
necrosis,Mediastinal fat necrosis,Mediastinal fat necrosis,
embolization,Needle fragment embolism,,
Negative perceptions,Negative perceptions,,
neurofibromatosis,neurofibromatosis,,
neuromuscular disorders,neuromuscular disorders,,
neuromuscular disorders,neuromuscular disorders,,
neurosis,neurosis,,
neurovegetative syndrome,neurovegetative syndrome,,
no recent contact,no recent contact,,
noncardiac,other cardiac and non-cardiac diseases,cardiac,
noncardiac,other cardiac and noncardiac disorders,cardiac,
noncardiac,noncardiac causes,,
noncardiac,non-cardiac causes,,
noncardiac,noncardiac diseases,,
noncardiac,non-cardiac factors,,
noncardiac,Noncardiac findings,,
noncardiac,nonischemic cardiac causes,,
noncardiac,that of non cardiac,,
noncardiac,that of non-cardiac one,,
noncardiac,the absence of a cardiac cause,,
noncoronary sinus of Valsalva,rupture of the noncoronary sinus of Valsalva,,
noncoronary sinus of Valsalva,Ruptured aneurysm of non-coronary sinus of valsalva,,
Non-inflammatory diseases,Non-inflammatory diseases,,
nonpropagating simultaneous contractions,nonpropagating simultaneous contractions,,
nonspecific spastic disorders,nonspecific spastic disorders,,
not having,not having,,
NRT,NRT,,
Nutcracker esophagus,Diffuse nutcracker oesophagus,,
Nutcracker esophagus,nutcracker esophagus,,
Nutcracker esophagus,Nutcracker esophagus,,
Nutcracker esophagus,nutcracker oesophagus,,
Nutcracker esophagus,The nutcracker esophagus,,
Nutcracker esophagus,The nutcracker esophagus,,
Nutcracker esophagus,the nutcracker esophagus,,
Nutcracker esophagus,segmental nutcracker oesophagus,,
nutcrackers,nutcrackers,,
NYHA stage III dyspnoea,NYHA stage III dyspnoea,,
obliteration of the SDAVF,obliteration of the SDAVF,,
obstruction of the pulmonary circulation,obstruction of the pulmonary circulation,,
occlusion,Balloon occlusions,,
occlusion,branch vessel occlusion,,
occlusion,interventional atrial septal defect occlusion,,
occlusion,proximal occlusion of the first obtuse marginal,,
occlusion,total or subtotal occlusion,,
occlusion,transient occlusion of the right coronary orifice,,
pericarditis,occult constrictive pericarditis,,
OD,OD,,
OD,OD,,
oesophageal contractions,strong esophageal contraction,strong esophageal contraction,
oesophageal contractions,Strong esophageal contractions,strong esophageal contraction,
oesophageal contractions,contractions of the esophageal muscle,,
oesophageal contractions,excessive esophageal contraction,,
oesophageal contractions,hypertensive esophageal contractions,,
oesophageal contractions,spastic oesophageal contractions,,
oesophageal contractions,Sustained esophageal longitudinal smooth muscle contraction,,
OK-432,OK-432,,
older children,older children,,
ominous rhythms,ominous rhythms,,
one EMS squad,one EMS squad,,
One type,One type,,
open revision,open revision,,
operation,operation,,
operation,operation,,
operation,operation,,
operation,operation,,
Organic disease,associated organic disease,,
Organic disease,Organic disease,,
Organic disease,organic disease,,
Osteoarthritis of the Manubriosternal Joint,Osteoarthritis of the manubriosternal joint,Manubriosternal,
Osteoarthritis of the Manubriosternal Joint,Osteoarthritis of the Manubriosternal Joint,Manubriosternal,
other affected vascular beds,other affected vascular beds,,
other manometric disorders.(ABSTRACT,other manometric disorders.(ABSTRACT,,
over-insufflation,over-insufflation,,
oxygen therapy,oxygen therapy,,
oxygen therapy,insertion of a transtracheal oxygen therapy catheter,,
Oxytocin,Oxytocin,,
PAA,PAA,,
pacemaker,an uncomplicated pacemaker implantation,pacemaker implantation,
pacemaker,pacemaker implantation,pacemaker implantation,
pacemaker,pacemaker extrusion,,
pacemaker,Pacemaker Lead Perforation,,
pacing,Atrial pacing,,
pacing,maximal atrial pacing,,
pacing,pacing,,
pacing,pacing,,
pacing,pacing,,
pacing,true pacing,,
pacing,pacing tachycardia,,
pain receptors,pain receptors,,
Palpation,Palpation,,
palpitations,palpitations,,
palpitations,palpitations,,
palpitations,palpitations,,
palpitations,palpitations,,
pancreatic pseudocyst,pancreatic pseudocyst,,
panic,panic,,
Panic attacks,Panic attacks,,
Panic attacks,panic attacks,,
Papillary fibroelastoma,Papillary fibroelastoma,,
paraplegia of the lower limbs,paraplegia of the lower limbs,,
parathyroidectomy,parathyroidectomy,,
parathyroidectomy,parathyroidectomy,,
partial seizures,partial seizures,,
partial upper versus complete sternotomy,partial upper versus complete sternotomy,,
participants,participants,,
pathologic rib fractures,pathologic rib fractures,,
pathologic rib fractures,pathological fracture of the left 10th rib,,
Pectus excavatum,Pectus excavatum,,
Penetrating atherosclerotic aortic ulcer,PAU,,
Penetrating atherosclerotic aortic ulcer,PAU,,
Penetrating atherosclerotic aortic ulcer,Penetrating atherosclerotic aortic ulcer,,
Pentagastrin,Pentagastrin,,
Pentagastrin,pentagastrin administration,,
peppermint oil,the peppermint oil,,
percutaneous atrial septal defect closure,percutaneous atrial septal defect closure,,
percutaneous atrial septal defect closure,percutaneous atrial septal defect closure,,
percutaneous coronary intervention,PCI,,
percutaneous coronary intervention,PCI,,
percutaneous coronary intervention,PCI,,
percutaneous coronary intervention,PCI.Although,,
percutaneous transaluminal coronary angioplasty,percutaneous transaluminal coronary angioplasty,coronary angioplasty,
percutaneous transaluminal coronary angioplasty,percutaneous transaluminal coronary angioplasty,,
percutaneous transhepatic cholangiography,removal of PTC catheter,,
Percutaneus Transluminal Coronary,PTCA,,
Percutaneus Transluminal Coronary,PTCA,,
Percutaneus Transluminal Coronary,PTCA,,
perforation,Late perforation of the atrial wall,,
perforation,Lead perforation,,
perforation,perforation,,
perforation,the first symptom of sigmoid perforation,,
Pericardial agenesis,Pericardial agenesis,,
Pericardial agenesis,Pericardial agenesis,,
pericardial fat necrosis,pericardial fat necrosis,,
pericardial fat necrosis,Pericardial Fat Necrosis,,
pericardial fat necrosis,Pericardial fat necrosis,,
pericardial fat necrosis,pericardial fat necrosis,,
pericardial fat necrosis,Pericardial fat necrosis,,
pericarditis,Cyclosporine-induced pericarditis,,
pericarditis,a chronic pericardial effusion,,
pericarditis,acute pericarditis,,
pericarditis,Constrictive pericarditis,,
pericarditis,histoplasmosis pericarditis,,
pericarditis,Left pericardial defect,,
pericarditis,pericardial and myocardial inflammation,,
pericarditis,pericardial disease,,
pericarditis,Pericardial foreign body,,
pericarditis,pericardial irritation,,
pericarditis,pericarditis,,
pericarditis,pericarditis,,
pericarditis,pericarditis,,
pericarditis,Pericarditis,,
pericarditis,Pericarditis,,
pericarditis,pericarditis,,
pericarditis,Pericarditis,,
pericarditis,Pericarditis,,
pericarditis,pericarditis,,
pericarditis,pericarditis,,
pericarditis,pericarditis,,
pericarditis,pericarditis,,
pericarditis,Precordial abscess,,
pericarditis,Precordial catch syndrome,,
pericarditis,precordial leads,,
pericarditis,the importance of pericardial disease,,
pericarditis,the presence of a pericardial and possibly pleuropericardial friction rub,,
perindopril,perindopril,,
peri-neural infiltration,peri-neural infiltration,,
peritonectomy,peritonectomy,,
persistent cough,persistent cough,,
persistent cough,persistent coughing,,
ST elevation,persistent massive ST elevation,,
PGI2,PGI2,,
pH monitoring,a Bravo pH monitoring capsule,,
Phaeochromocytoma,Phaeochromocytoma,,
physical effort,physical effort,,
physical effort,physical efforts,,
physical exertion,physical exertion,,
physical exertion,physical exertion,,
physical exertion,physical exertion,,
physiology,pathophysiology,,
Pinch-off syndrome,Pinch-off syndrome,,
placement of a dual-chamber implantable cardioverter-defibrillator,placement of a dual-chamber implantable cardioverter-defibrillator,defibrillator,
Placement of the Bravo capsule,Placement of the Bravo capsule,,
plaque erosion,plaque erosion,,
pleural,pleural deposits,,
pleural,Pleural reactions,,
pleural abrasion,pleural abrasion,,
pleural abrasion,pleural abrasion,,
pleural effusion,a pleural effusion,,
pleural effusion,pleural effusion,,
pleural effusion,pleural effusion,,
pleural effusion,pleural effusion,,
pleural effusion,pleural effusion,,
pleural effusion,Pleural effusion,,
pleural effusion,Recurrent pleural effusion,,
pleural effusion,These larger pleural effusions,,
pleurisy,bilateral pleuritis,,
pleurisy,pleurisy,,
pleurisy,viral pleurisy,,
pleurisy,pleuritis carcinomatosa,,
pleurodesis,pleurodesis,,
pleurodesis,pleurodesis,,
PM,PM,,
Pneumocytoma,Pneumocytoma,,
pneumomediastinum,Acute pneumothorax,,
pneumomediastinum,an incidental spontaneous pneumomediastinum,,
pneumomediastinum,Pneumomediastinum,,
pneumomediastinum,Pneumomediastinum,,
pneumomediastinum,Pneumomediastinum,,
pneumomediastinum,pneumomediastinum,,
pneumomediastinum,pneumomediastinum,,
pneumomediastinum,Pneumomediastinum,,
pneumomediastinum,pneumomediastinum,,
pneumomediastinum,pneumonectomy,,
pneumomediastinum,pneumothorax,,
pneumomediastinum,Postpartum pneumomediastinum,,
pneumonia,pneumatic dilatation,,
pneumonia,a bout of pneumonia,,
pneumonia,bacterial pneumonia,,
pneumonia,pneumonia,,
pneumonia,pneumonia,,
pneumonia,the pneumonia,,
pneumonia,Cryptogenic organising pneumonia,,
pneumonia,localized COVID-19 pneumonitis,,
pneumopericardium,pneumopericardium,,
pneumothorax,a tension pneumothorax,,
polyarthritis,polyarthritis,,
polyostotic dysplasia of the ribs,Polyostotic fibrous dysplasia of the ribs,Fibrous dysplasia of the rib,
polyostotic dysplasia of the ribs,polyostotic dysplasia of the ribs,,
portal hypertensive gastropathy,portal hypertensive gastropathy,,
Positive EST,Positive EST,,
postoperative,postoperative complications,,
postoperative,postoperative fever,,
Postoperative pulmonary infections,Postoperative pulmonary infections,,
postpartum thyroiditis,postpartum thyroiditis,,
PPH,PPH,,
PPI therapy,PPI therapy,,
pregnancy,pregnancy,,
Presence of mood disorder,Presence of mood disorder,,
Presence of mood disorder,the presence of a mood disorder,,
presyncope,presyncope,,
presyncope,presyncope,,
prevalent diseases,prevalent diseases,,
primary care,primary care,,
Primary pulmonary hypertension,Primary pulmonary hypertension,,
Primary pulmonary hypertension,primary pulmonary hypertension,,
Primary pulmonary hypertension,Primary pulmonary hypertension,,
principal diagnoses,principal diagnoses,,
Left ventricular hydatid cyst,left ventricular hydatid cyst,,
production of IGF-2,production of IGF-2,,
propanidid anaesthesia,propanidid anaesthesia,,
proven myocardial ischaemia,proven myocardial ischaemia,,
proven myocardial ischaemia,proven myocardial ischemia,,
proven myocardial ischaemia,proven myocardial ischemia,,
proven myocardial ischaemia,proven myocardial ischemia,,
proven RMSF,proven RMSF,,
psychiatric,psychiatric disorder,psychiatric disorder,
psychiatric,psychiatric disorder,psychiatric disorder,
psychiatric,psychiatric disorders,psychiatric disorder,
psychiatric,Increased psychiatric comorbidity,,
psychogenic causes,psychogenic causes,,
psychological,psychological contributors,,
psychological,psychological disturbances,,
psychological,Psychological morbidity,,
psychological,psychological problems,,
psychological,psychological therapies,,
psychological stress,psychological distress,,
psychological stress,psychological distress,,
psychological stress,Psychological stress,,
psychosocial,psychosocial factors,,
psychosocial,psychosocial problems,,
pulmonary,a fatal complication of long-standing pulmonary hypertension,,
pulmonary,Acceleration atelectasis,,
pulmonary,"dyspnea , fatigue and edema of the lungs",,
pulmonary,ectopic lobe of the right lung,,
pulmonary,either of these pulmonary etiologies,,
pulmonary,Episodes of atelectasis,,
pulmonary,multiple coronary arteries to pulmonary artery fistulas,coronary arteries to pulmonary artery fistulas,
pulmonary,Pulmonary artery dissection,,
pulmonary,pulmonary coccidioidomycosis,,
pulmonary,pulmonary or digestive diseases,,
pulmonary,pulmonary pathologies,,
pulmonary,pulmonary resection,,
pulmonary,pulmonary sequestration,,
pulmonary,pulmonary syphilis,,
pulmonary,pulmonary vein thrombi,,
pulmonary,severe left superior and inferior pulmonary veins stenosis,,
pulmonary,the reduction of the functional area of the lung,,
pulmonary artery,a dilated pulmonary artery,,
pulmonary artery,a pulmonary artery,,
pulmonary artery,bilateral coronary-to-pulmonary artery fistulas,coronary arteries to pulmonary artery fistulas,
pulmonary artery,Unilateral pulmonary artery agenesis,,
Pulmonary artery aneurysm,Aneurysm of the pulmonary artery,,
Pulmonary artery aneurysm,Pulmonary artery aneurysm,,
Pulmonary artery aneurysm,pulmonary artery aneurysm,,
Pulmonary artery aneurysm,pulmonary artery aneurysm,,
Pulmonary artery aneurysm,Pulmonary artery aneurysms,,
Pulmonary embolism,PE,,
Pulmonary embolism,PE,,
pulmonary embolism,Pulmonary amyloidosis,,
pulmonary embolism,Pulmonary emboli,,
pulmonary embolism,pulmonary emboli,,
pulmonary embolism,pulmonary emboli,,
pulmonary embolism,Pulmonary embolism,,
pulmonary embolism,pulmonary embolism,,
pulmonary embolism,pulmonary embolism,,
pulmonary embolism,Pulmonary embolism,,
pulmonary embolism,pulmonary embolism,,
pulmonary hypertension,pulmonary hypertension,,
pulmonary hypertension,pulmonary hypertension,,
pulmonary hypertension,pulmonary hypertension,,
pulse prednisolone therapy,pulse prednisolone therapy,,
QOL,health-related QOL,,
QoL,QoL,,
radiation,radiation,,
radiologists ' and emergency physicians ' familiarity,radiologists ' and emergency physicians ' familiarity,,
Rapid heartbeats,Rapid heartbeats,,
rare pericardial cysts,rare pericardial cysts,,
Reassurance,Reassurance,,
recombinant tissue-type plasminogen activator ( rt-PA ) administration,recombinant tissue-type plasminogen activator ( rt-PA ) administration,,
recovery,recovery,,
recurrent episodes of giddiness,recurrent episodes of giddiness,,
